iter	Logloss
0	0.6617372602
1	0.6331242611
2	0.6077927332
3	0.5862170516
4	0.5683643246
5	0.5517202651
6	0.5383179559
7	0.5267022721
8	0.5142900744
9	0.5047046565
10	0.4937294294
11	0.484915441
12	0.4780825914
13	0.4703577568
14	0.4611663042
15	0.4560677532
16	0.4505555799
17	0.4451115289
18	0.4399077473
19	0.4364975418
20	0.4324509554
21	0.4282331589
22	0.4250503927
23	0.4219076123
24	0.4184252949
25	0.4159786634
26	0.4128461177
27	0.4102402247
28	0.4071577109
29	0.4047435988
30	0.4029573243
31	0.4006764758
32	0.3987523723
33	0.396671674
34	0.3947132758
35	0.3902036418
36	0.3887665519
37	0.3866514106
38	0.385253132
39	0.3825720296
40	0.3809636137
41	0.3799712365
42	0.3786637497
43	0.3770570249
44	0.375352674
45	0.3737957083
46	0.3726898438
47	0.371298721
48	0.3699261076
49	0.3684520043
50	0.3672385971
51	0.3658904029
52	0.3649603142
53	0.3631559353
54	0.3618343547
55	0.3602994575
56	0.3586909903
57	0.3577160151
58	0.3569141508
59	0.3561986125
60	0.355881887
61	0.3549484145
62	0.353981072
63	0.3519456759
64	0.3512236455
65	0.3507002746
66	0.3500911621
67	0.3491869883
68	0.3478371033
69	0.3471379829
70	0.3465027076
71	0.3457133613
72	0.3447472993
73	0.3436745472
74	0.3422194936
75	0.3421700898
76	0.3417867133
77	0.3410252235
78	0.3404240161
79	0.3394375019
80	0.3386220519
81	0.3373689491
82	0.3370496708
83	0.3367337951
84	0.3363783676
85	0.3359664085
86	0.3353133293
87	0.3337392553
88	0.3333069842
89	0.3330646946
90	0.3325976977
91	0.3320952427
92	0.331126797
93	0.3307678628
94	0.3304574664
95	0.3294252641
96	0.3285959524
97	0.3273479431
98	0.3267804042
99	0.3263679516
100	0.3257896121
101	0.3257803321
102	0.3253306596
103	0.3250778666
104	0.3245139274
105	0.3239648661
106	0.3237339334
107	0.3236605663
108	0.3233471154
109	0.3231987755
110	0.3219406489
111	0.321909135
112	0.3216927037
113	0.3214288558
114	0.3211849298
115	0.3207607899
116	0.319960452
117	0.3194798946
118	0.3187960407
119	0.3180835552
120	0.3175230652
121	0.3165908005
122	0.316290101
123	0.3157574938
124	0.3153781643
125	0.3152143829
126	0.3152074938
127	0.3149822237
128	0.3145872195
129	0.3142771121
130	0.3140361213
131	0.3140223687
132	0.313376516
133	0.3130131199
134	0.3126681136
135	0.3126528926
136	0.3123149391
137	0.3118832155
138	0.3115990982
139	0.3108028259
140	0.3105912766
141	0.3103347529
142	0.3098767852
143	0.3098487125
144	0.3091264354
145	0.3091236079
146	0.3089083269
147	0.3085441947
148	0.3078784505
149	0.3075928896
150	0.3074661896
151	0.3068443227
152	0.3062793848
153	0.3058119
154	0.3052581105
155	0.3049671611
156	0.3047931528
157	0.3044177296
158	0.3036399398
159	0.3033956856
160	0.3029508878
161	0.3022631296
162	0.3016201412
163	0.3012184183
164	0.3010845676
165	0.3009542217
166	0.3006655554
167	0.300083225
168	0.2994711087
169	0.2984602538
170	0.2977648666
171	0.2970978447
172	0.2969949486
173	0.2967261681
174	0.2962640497
175	0.2962620131
176	0.295330372
177	0.2947983598
178	0.2944294803
179	0.2934005023
180	0.2932488924
181	0.2930978574
182	0.2929635855
183	0.2925487485
184	0.2919065533
185	0.2914362899
186	0.2912253427
187	0.2908016597
188	0.2906529304
189	0.2897912544
190	0.2894712708
191	0.2889084939
192	0.2881412604
193	0.2878495032
194	0.2874596713
195	0.286721291
196	0.2865669691
197	0.2862648878
198	0.2857017061
199	0.2854169857
200	0.2849186873
201	0.2845903133
202	0.2842215006
203	0.2836949739
204	0.2835205476
205	0.2833235933
206	0.2830936406
207	0.282662083
208	0.2818191374
209	0.2815602721
210	0.2813626933
211	0.2809963723
212	0.2807128018
213	0.280624662
214	0.280045079
215	0.2799442602
216	0.279488252
217	0.2792398678
218	0.2789566273
219	0.2785098888
220	0.2783369793
221	0.2781039545
222	0.2778981169
223	0.277808009
224	0.2775134889
225	0.277203599
226	0.2766550357
227	0.2759334148
228	0.2756548461
229	0.2753307682
230	0.2747774721
231	0.2744125473
232	0.2740576034
233	0.2738614321
234	0.273501235
235	0.273151064
236	0.2726628156
237	0.2722487759
238	0.271968749
239	0.2717995843
240	0.2713817073
241	0.2707105785
242	0.2703710107
243	0.2698417896
244	0.2695705634
245	0.2691342766
246	0.268469717
247	0.2682164748
248	0.2680615483
249	0.26787723
250	0.2674514055
251	0.2669828412
252	0.2667594678
253	0.2666023341
254	0.2664796228
255	0.2664212901
256	0.2661547237
257	0.265877188
258	0.265553933
259	0.2650357531
260	0.2648022146
261	0.264508271
262	0.2640626579
263	0.2636472082
264	0.2634046546
265	0.2631059915
266	0.2629442922
267	0.2625091476
268	0.2624493544
269	0.2622808424
270	0.2620481051
271	0.2615639925
272	0.2614884397
273	0.2612658735
274	0.2610892174
275	0.2609954816
276	0.2606751083
277	0.2605647885
278	0.260494877
279	0.2602386646
280	0.2599947043
281	0.2598053659
282	0.2597647658
283	0.2595176143
284	0.25931859
285	0.2590401995
286	0.258968326
287	0.2588693553
288	0.2585588315
289	0.2584172197
290	0.2581055219
