iter	Passed	Remaining
0	13	13013
1	31	15500
2	40	13530
3	51	12930
4	69	13870
5	81	13558
6	90	12828
7	101	12533
8	116	12838
9	132	13120
10	145	13077
11	160	13188
12	168	12792
13	182	12877
14	196	12882
15	204	12553
16	212	12312
17	220	12052
18	227	11769
19	235	11525
20	243	11353
21	252	11234
22	261	11110
23	271	11024
24	282	11012
25	294	11022
26	306	11040
27	319	11078
28	326	10927
29	334	10824
30	343	10749
31	352	10676
32	362	10635
33	371	10551
34	381	10506
35	390	10466
36	399	10384
37	414	10484
38	422	10409
39	431	10359
40	441	10315
41	448	10220
42	455	10132
43	463	10072
44	469	9969
45	477	9912
46	485	9844
47	493	9797
48	502	9750
49	510	9700
50	519	9662
51	529	9660
52	537	9612
53	549	9625
54	558	9601
55	566	9546
56	573	9491
57	581	9444
58	589	9398
59	597	9355
60	604	9312
61	613	9280
62	621	9241
63	634	9285
64	643	9253
65	655	9279
66	663	9232
67	671	9199
68	683	9224
69	698	9274
70	704	9223
71	717	9249
72	731	9284
73	744	9318
74	753	9289
75	757	9211
76	771	9252
77	784	9279
78	798	9309
79	813	9358
80	827	9394
81	836	9370
82	851	9403
83	863	9421
84	871	9379
85	878	9337
86	888	9321
87	895	9281
88	902	9234
89	909	9198
90	918	9176
91	925	9136
92	933	9101
93	939	9059
94	946	9019
95	954	8990
96	961	8953
97	969	8925
98	977	8893
99	984	8861
100	993	8840
101	998	8787
102	1006	8762
103	1013	8731
104	1020	8697
105	1027	8663
106	1034	8630
107	1040	8594
108	1047	8560
109	1054	8529
110	1062	8505
111	1066	8452
112	1073	8429
113	1080	8397
114	1087	8367
115	1094	8341
116	1102	8323
117	1108	8288
118	1116	8264
119	1123	8239
120	1130	8209
121	1138	8191
122	1145	8166
123	1152	8142
124	1160	8120
125	1167	8095
126	1170	8048
127	1177	8024
128	1186	8009
129	1192	7983
130	1199	7959
131	1204	7918
132	1211	7895
133	1218	7872
134	1225	7853
135	1230	7814
136	1237	7794
137	1245	7778
138	1252	7755
139	1258	7733
140	1265	7712
141	1272	7689
142	1280	7672
143	1286	7645
144	1295	7640
145	1300	7605
146	1305	7577
147	1313	7559
148	1321	7545
149	1328	7526
150	1335	7509
151	1342	7491
152	1349	7472
153	1356	7452
154	1363	7433
155	1370	7413
156	1376	7393
157	1383	7371
158	1390	7357
159	1397	7338
160	1404	7320
161	1412	7307
162	1420	7295
163	1427	7277
164	1434	7257
165	1440	7235
166	1446	7214
167	1453	7199
168	1461	7185
169	1468	7168
170	1475	7154
171	1482	7136
172	1489	7119
173	1497	7110
174	1506	7102
175	1511	7075
176	1519	7065
177	1527	7052
178	1575	7226
179	1623	7396
180	1669	7553
181	1717	7720
182	1764	7876
183	1813	8043
184	1859	8191
185	1908	8350
186	1958	8513
187	2012	8693
188	2062	8848
189	2114	9012
190	2162	9159
191	2211	9307
192	2263	9464
193	2312	9606
194	2358	9737
195	2410	9886
196	2460	10027
197	2513	10180
198	2567	10335
199	2613	10455
200	2663	10589
201	2728	10777
202	2782	10924
203	2842	11092
204	2895	11228
205	2945	11354
206	2998	11487
207	3048	11608
208	3102	11740
209	3151	11855
210	3199	11962
211	3245	12062
212	3290	12159
213	3337	12259
214	3393	12388
215	3436	12471
216	3481	12562
217	3529	12661
218	3578	12761
219	3625	12855
220	3670	12938
221	3717	13027
222	3764	13115
223	3804	13179
224	3844	13241
225	3896	13345
226	3951	13457
227	4008	13572
228	4055	13653
229	4101	13731
230	4155	13833
231	4204	13919
232	4258	14017
233	4307	14101
234	4350	14163
235	4399	14243
236	4444	14308
237	4498	14403
238	4549	14485
239	4602	14574
240	4657	14667
241	4712	14759
242	4763	14839
243	4824	14946
244	4881	15041
245	4940	15141
246	5007	15266
247	5053	15323
248	5098	15378
249	5140	15420
250	5190	15488
251	5238	15550
252	5288	15614
253	5345	15700
254	5393	15756
255	5440	15812
256	5498	15895
257	5557	15982
258	5622	16086
259	5691	16197
260	5749	16279
261	5822	16401
262	5890	16506
263	5946	16577
264	6009	16668
265	6065	16737
266	6119	16801
267	6167	16846
268	6209	16872
269	6253	16906
270	6305	16961
271	6354	17008
272	6401	17045
273	6456	17106
274	6483	17093
275	6492	17032
276	6502	16971
277	6510	16907
278	6517	16842
279	6524	16777
280	6532	16713
281	6539	16649
282	6545	16583
283	6552	16520
284	6560	16458
285	6568	16399
286	6575	16336
287	6582	16273
288	6589	16211
289	6596	16149
290	6604	16091
291	6612	16032
292	6619	15972
293	6625	15910
294	6632	15851
295	6639	15792
296	6646	15732
297	6654	15674
298	6661	15618
299	6669	15563
300	6679	15512
301	6686	15453
302	6692	15395
303	6700	15340
304	6708	15285
305	6715	15230
306	6723	15177
307	6732	15126
308	6740	15074
309	6748	15020
310	6755	14966
311	6763	14914
312	6771	14863
313	6779	14810
314	6784	14754
