age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
59,0,1,1,0.0,2343,1,0,2,5,8,6.540936365379126,1.0,-1,0.0,3,1
56,0,1,1,0.0,45,0,0,2,5,8,7.174504670716551,1.0,-1,0.0,3,1
41,9,1,1,0.0,1270,1,0,2,5,8,7.069341884510084,1.0,-1,0.0,3,1
55,7,1,1,0.0,2476,1,0,2,5,8,5.580458491117222,1.0,-1,0.0,3,1
54,0,1,2,0.0,184,0,0,2,5,8,5.812037339117578,2.0,-1,0.0,3,1
42,4,2,2,0.0,0,1,1,2,5,8,5.5356927487466585,2.0,-1,0.0,3,1
56,4,1,2,0.0,830,1,1,2,6,8,6.796869333764808,1.0,-1,0.0,3,1
60,5,0,1,0.0,545,1,0,2,6,8,6.520491468369877,1.0,-1,0.0,3,1
37,9,1,1,0.0,1,1,0,2,6,8,5.654658381932723,1.0,-1,0.0,3,1
28,7,2,1,0.0,5090,1,0,2,6,8,6.939611030647967,3.0,-1,0.0,3,1
38,0,2,1,0.0,100,1,0,2,7,8,6.061032797377437,1.0,-1,0.0,3,1
30,1,1,1,0.0,309,1,0,2,7,8,7.312322412190263,2.0,-1,0.0,3,1
29,4,1,2,0.0,199,1,1,2,7,8,7.453020876445119,3.9999999999999987,-1,0.0,3,1
46,1,2,2,0.0,460,1,0,2,7,8,6.640659949743167,2.0,-1,0.0,3,1
31,9,2,2,0.0,703,1,0,2,8,8,6.366812776479066,2.0,-1,0.0,3,1
35,4,0,2,0.0,3837,1,0,2,8,8,6.6111678627454795,1.0,-1,0.0,3,1
32,1,2,0,0.0,611,1,0,2,8,8,5.479008365681581,3.0,-1,0.0,3,1
49,7,1,1,0.0,-8,1,0,2,8,8,6.668192542585142,1.0,-1,0.0,3,1
41,0,1,1,0.0,55,1,0,2,8,8,6.669802575531825,2.0,-1,0.0,3,1
49,0,0,1,0.0,168,1,1,2,8,8,5.400875333529209,1.0,-1,0.0,3,1
28,0,0,1,0.0,785,1,0,2,8,8,5.187749434340432,2.0,-1,0.0,3,1
43,4,2,2,0.0,2067,1,0,2,8,8,5.997618861857075,1.0,-1,0.0,3,1
43,4,0,2,0.0,388,1,0,2,8,8,7.891657517846338,2.0,-1,0.0,3,1
43,1,1,0,0.0,-192,1,0,2,8,8,6.669802575531825,2.0,-1,0.0,3,1
37,10,2,1,0.0,381,1,0,2,8,8,6.442238798586457,2.0,-1,0.0,3,1
35,1,2,1,0.0,40,1,0,2,9,8,5.67715988560874,3.9999999999999987,-1,0.0,3,1
31,9,2,2,0.0,22,1,0,2,9,8,5.3136276287572874,3.0,-1,0.0,3,1
43,1,2,1,0.0,3,1,0,2,9,8,6.341126384857527,3.0,-1,0.0,3,1
31,0,1,1,0.0,307,1,0,2,9,8,5.470780165381933,1.0,-1,0.0,3,1
28,1,2,1,0.0,759,1,0,2,9,8,5.896718076058104,1.0,-1,0.0,3,1
32,1,1,1,1.0,-1,1,0,2,9,8,5.764841169439984,1.0,-1,0.0,3,1
60,9,1,0,0.0,65,1,0,2,9,8,6.51706710927493,2.0,-1,0.0,3,1
26,1,2,1,0.0,82,1,0,2,9,8,5.767225848425026,1.0,-1,0.0,3,1
40,1,1,1,0.0,10,1,0,2,9,8,7.456596410849868,2.0,-1,0.0,3,1
33,1,0,0,0.0,390,1,0,2,9,8,5.793283331336166,2.0,-1,0.0,3,1
32,4,2,2,0.0,311,0,0,2,12,8,5.999761978710996,2.0,-1,0.0,3,1
35,1,1,0,0.0,414,0,0,2,13,8,5.375101028026639,3.9999999999999987,-1,0.0,3,1
33,4,0,1,0.0,5,1,0,2,13,8,7.009513137040636,1.0,-1,0.0,3,1
38,4,1,2,0.0,119,1,0,2,13,8,5.551603860723259,3.9999999999999987,-1,0.0,3,1
23,2,2,0,0.0,4,1,0,2,13,8,5.032490906598206,2.0,-1,0.0,3,1
60,1,1,0,0.0,1262,1,1,2,13,8,6.494689451671865,1.0,-1,0.0,3,1
48,4,1,2,0.0,1949,1,0,2,13,8,5.835252450172782,2.0,-1,0.0,3,1
45,2,0,2,0.0,-395,1,0,2,13,8,5.274588824164861,1.0,-1,0.0,3,1
36,1,1,1,0.0,1165,1,0,2,13,8,6.470355296371668,3.9999999999999987,-1,0.0,3,1
52,4,1,3,0.0,2240,1,0,2,13,8,6.18076673989606,1.0,-1,0.0,3,1
35,1,0,0,0.0,300,1,0,2,13,8,6.370459500223086,2.0,-1,0.0,3,1
43,9,1,1,0.0,3285,1,0,2,13,8,7.490923645513473,2.0,-1,0.0,3,1
52,3,1,1,0.0,3923,1,0,2,14,8,6.3649872977807505,3.0,-1,0.0,3,1
53,9,0,0,0.0,1443,1,0,2,14,8,5.292703372270681,1.0,-1,0.0,3,1
48,1,0,0,0.0,24,1,0,2,14,8,6.154921532844659,1.0,-1,0.0,3,1
41,1,2,0,0.0,1618,1,0,2,14,8,7.285825607500666,1.0,-1,0.0,3,1
39,4,0,2,0.0,517,1,1,2,14,8,6.984053987374982,1.0,-1,0.0,3,1
59,5,1,1,0.0,1521,1,1,2,14,8,6.67783704256094,2.0,-1,0.0,3,1
41,1,1,1,0.0,2823,1,0,2,14,8,6.206323400051913,1.0,-1,0.0,3,1
48,1,1,1,0.0,1405,1,0,2,14,8,5.706792296664109,2.0,-1,0.0,3,1
40,0,1,1,0.0,1535,1,0,2,14,8,5.883208394486513,1.0,-1,0.0,3,1
48,1,1,1,0.0,1596,1,0,2,14,8,6.006178958585157,1.0,-1,0.0,3,1
60,5,1,0,0.0,1542,1,0,2,14,8,6.342970459407682,1.0,-1,0.0,3,1
40,9,2,3,0.0,3652,1,0,2,14,8,6.51706710927493,2.0,-1,0.0,3,1
57,9,1,2,0.0,-1,0,0,2,14,8,6.19062995440381,2.0,-1,0.0,3,1
51,1,1,1,0.0,7180,1,0,2,14,8,6.3374338857837875,1.0,-1,0.0,3,1
41,1,0,1,0.0,5291,1,0,2,14,8,7.115698537654605,3.0,-1,0.0,3,1
41,1,1,1,0.0,1384,1,0,2,15,8,6.736496502885165,3.9999999999999987,-1,0.0,3,1
52,1,0,0,0.0,-191,1,0,2,15,8,5.995473675358015,1.0,-1,0.0,3,1
