age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
21,8,2,3,0.0,1506,0,0,0,14,11,4.832629393668506,1.0,-1,0.0,3
31,7,1,1,0.0,414,1,0,2,7,8,4.269615564207284,1.0,-1,0.0,3
33,7,1,2,0.0,597,0,0,0,4,3,3.757449814519705,1.0,-1,0.0,3
30,0,1,1,0.0,1310,0,0,1,27,10,8.920295252504008,1.0,-1,0.0,3
47,1,1,1,0.0,2775,0,0,2,14,8,4.503964342658188,1.0,-1,0.0,3
51,10,1,0,0.0,1162,1,0,0,25,5,7.817129577777531,1.0,-1,0.0,3
33,9,1,1,0.0,11000,1,0,0,5,3,3.6633721150385337,4.999999999999998,-1,0.0,3
29,1,2,1,0.0,322,0,0,2,14,6,5.162202799855332,1.0,96,5.999999999999999,1
46,2,1,2,0.0,4726,1,0,0,8,0,5.066611141953292,1.0,-1,0.0,3
24,10,2,1,0.0,2573,0,0,0,24,8,4.962312683539753,2.0,-1,0.0,3
75,5,1,1,0.0,3771,0,0,1,15,0,4.099672037884278,1.0,181,2.0,2
58,4,1,2,0.0,1318,0,0,0,16,5,4.093670894161326,1.0,179,4.999999999999998,0
41,4,1,2,0.0,65,1,0,2,6,8,5.4319329671440855,2.0,-1,0.0,3
31,9,2,1,0.0,373,0,0,0,22,1,4.855531584164791,4.999999999999998,-1,0.0,3
34,3,1,1,0.0,0,1,0,2,30,10,3.901412008973134,1.0,-1,0.0,3
37,4,1,2,0.0,4436,0,0,0,13,1,6.182742783314981,4.999999999999998,-1,0.0,3
60,10,1,1,0.0,957,0,0,0,8,11,4.427908905010329,1.0,184,3.0,2
35,1,1,0,0.0,159,1,1,0,12,8,6.142893496990067,1.0,-1,0.0,3
35,4,1,2,0.0,8,0,0,0,23,0,3.4042576221885303,3.0,-1,0.0,3
31,7,2,1,0.0,8,0,0,0,7,5,4.832629393668506,3.0,-1,0.0,3
33,10,2,1,0.0,682,0,0,0,5,3,4.452054429645555,1.0,-1,0.0,3
37,4,1,2,0.0,4089,1,0,0,2,3,4.624955144647758,2.0,174,3.999999999999999,1
38,4,0,1,0.0,257,1,0,0,30,0,5.165414824192015,1.0,-1,0.0,3
33,1,1,2,0.0,6138,1,0,2,20,8,4.940727593547148,1.0,-1,0.0,3
38,7,1,1,0.0,2669,1,0,0,20,0,4.23159021337102,2.0,-1,0.0,3
35,10,1,0,0.0,3285,0,0,0,21,9,7.288360337023304,2.0,-1,0.0,3
39,4,2,2,0.0,2258,1,0,0,31,5,4.4711193716462985,2.0,-1,0.0,3
28,7,2,1,0.0,217,1,0,0,9,3,4.976563113284706,3.0,-1,0.0,3
32,9,1,2,0.0,2976,1,0,0,5,3,6.054771716193058,1.0,175,4.999999999999998,0
68,5,0,0,0.0,695,0,0,0,9,0,4.3634090153306335,1.0,-1,0.0,3
35,4,2,2,0.0,2707,0,0,0,5,3,5.871885996034059,1.0,-1,0.0,3
52,1,1,1,0.0,2087,1,0,0,31,1,4.527035023357982,1.0,474,1.0,0
45,1,1,1,0.0,192,1,0,0,13,8,3.901412008973134,4.999999999999998,176,1.0,1
53,4,1,2,0.0,241,1,0,0,19,9,3.7800021353855215,1.0,-1,0.0,3
31,9,1,1,0.0,4182,1,0,0,4,8,4.859320382658303,2.0,-1,0.0,3
60,5,0,1,0.0,1091,0,0,0,30,5,5.184574652975371,4.999999999999998,-1,0.0,3
37,9,1,2,0.0,549,0,0,0,2,7,4.3934960825464895,1.0,-1,0.0,3
41,10,1,2,0.0,0,0,0,0,29,0,6.252771966106526,1.0,181,3.0,2
33,7,1,1,0.0,1076,0,0,0,11,9,3.734525982304581,1.0,96,4.999999999999998,0
53,1,2,1,0.0,1442,0,0,1,9,2,3.7800021353855215,7.999999999999997,188,2.0,1
43,4,1,2,1.0,0,0,0,0,27,1,2.386830748119884,12.0,-1,0.0,3
44,1,1,1,0.0,88,1,0,0,2,5,4.563300897185558,1.0,-1,0.0,3
32,0,1,1,0.0,995,0,0,0,3,11,4.797716624266151,1.0,99,2.0,1
60,1,1,3,0.0,104,1,0,2,5,8,2.3057750778246326,1.0,-1,0.0,3
51,4,1,2,0.0,2635,0,0,0,1,11,4.075523471226806,1.0,98,2.0,0
42,10,1,3,0.0,970,1,0,1,21,5,5.853646598627714,9.999999999999998,-1,0.0,3
31,9,2,1,0.0,205,1,0,2,3,6,4.840295995152278,2.0,-1,0.0,3
45,11,1,0,0.0,44,0,0,2,11,6,3.2794934048358044,1.0,-1,0.0,3
36,3,1,1,0.0,2880,0,0,2,12,6,4.598804869787091,1.0,-1,0.0,3
36,6,2,2,0.0,258,0,0,0,5,3,4.348153031922057,1.0,-1,0.0,3
34,4,2,2,0.0,682,0,0,0,27,1,5.280645660789948,3.0,-1,0.0,3
51,7,1,1,0.0,-467,0,0,2,9,6,4.274973690166411,4.999999999999998,-1,0.0,3
32,10,1,1,0.0,262,0,0,0,29,4,4.203853547561417,1.0,-1,0.0,3
56,4,0,2,0.0,505,0,0,0,9,3,3.544655131566293,2.0,199,3.0,1
27,6,1,1,1.0,254,1,1,0,29,4,4.152644866185855,1.0,188,1.0,0
42,1,1,0,0.0,803,1,0,2,7,8,4.013400147229545,2.0,-1,0.0,3
47,0,1,3,0.0,989,0,0,2,19,6,3.613779240256056,1.0,-1,0.0,3
61,5,1,1,0.0,3114,0,0,0,13,9,4.983647204060039,1.0,-1,0.0,3
55,3,0,0,0.0,976,0,0,0,28,6,4.8517347864754425,1.0,94,3.0,1
40,9,0,1,0.0,275,0,0,0,13,1,5.080087168273383,3.999999999999999,-1,0.0,3
49,0,1,1,0.0,1096,1,0,0,17,0,5.65717050328676,1.0,303,4.999999999999998,0
57,4,0,2,0.0,8897,1,0,0,12,1,6.219967810663493,2.0,-1,0.0,3
30,2,1,1,0.0,2551,1,0,2,5,6,3.8168013093567112,2.0,-1,0.0,3
30,4,1,1,0.0,850,0,0,0,12,1,5.383729514524361,2.0,-1,0.0,3
77,5,1,1,0.0,4112,0,0,1,29,5,5.136310183004445,1.0,184,3.0,2
56,1,1,3,0.0,665,1,0,2,20,6,3.5534958309549336,2.0,-1,0.0,3
32,4,1,2,0.0,169,0,1,0,20,1,3.638803788620397,2.0,-1,0.0,3
28,4,2,2,0.0,223,1,0,0,1,6,4.684466848791585,1.0,278,3.0,2
37,0,1,1,0.0,1049,0,0,0,31,5,3.69545327015172,4.999999999999998,-1,0.0,3
31,4,1,2,0.0,2652,0,0,0,25,1,1.810937162034013,8.999999999999996,-1,0.0,3
29,9,2,1,0.0,382,0,0,0,5,1,5.080087168273383,3.999999999999999,-1,0.0,3
45,4,1,2,1.0,-577,1,1,0,24,5,4.209440445553625,1.0,-1,0.0,3
34,7,1,1,0.0,1337,0,0,0,17,2,4.793794835721773,2.0,127,3.0,2
53,7,0,1,0.0,0,0,0,0,12,7,3.268501172784376,2.0,-1,0.0,3
50,2,1,0,0.0,431,1,0,0,20,0,1.957359540617632,4.999999999999998,-1,0.0,3
39,4,1,2,0.0,2939,0,0,0,6,10,5.654658381932723,1.0,99,3.0,0
42,1,1,0,0.0,-407,1,1,0,12,8,6.148915455722309,7.0,-1,0.0,3
43,1,1,0,0.0,794,1,0,0,13,8,2.672812782590282,3.0,-1,0.0,3
37,1,1,1,0.0,4321,0,0,0,5,6,5.774363957448484,1.0,-1,0.0,3
42,4,1,2,0.0,386,1,0,2,7,8,3.994247214582392,1.0,-1,0.0,3
62,4,1,2,0.0,1859,0,0,1,6,1,4.423036907896405,3.0,-1,0.0,3
41,11,2,3,0.0,942,0,0,0,22,0,4.29094021354444,1.0,-1,0.0,3
49,6,2,2,0.0,-341,0,1,0,18,9,6.32446417890757,2.0,-1,0.0,3
34,0,1,1,0.0,247,0,0,0,8,10,5.053037638107735,2.0,-1,0.0,3
40,8,1,1,0.0,260,0,0,0,19,9,2.90927441370995,1.0,152,5.999999999999999,0
83,5,1,2,0.0,4761,0,0,1,8,7,5.7791094933459375,1.0,-1,0.0,3
35,9,2,1,0.0,354,0,0,0,11,1,5.194083306029845,3.0,-1,0.0,3
36,9,1,1,0.0,1345,1,0,0,18,9,3.2903870491072795,1.0,172,3.0,0
31,4,1,2,0.0,11000,1,0,2,27,8,4.403402553070632,2.0,-1,0.0,3
35,9,1,1,0.0,4508,1,0,0,18,9,6.198490087087174,1.0,-1,0.0,3
30,7,1,1,0.0,1808,1,0,0,18,8,3.3011841761121925,2.0,-1,0.0,3
81,5,0,3,0.0,9224,0,0,1,9,9,4.373500212524209,2.0,-1,0.0,3
49,9,0,1,0.0,5,0,0,0,19,1,3.734525982304581,2.0,-1,0.0,3
70,5,1,0,0.0,2346,0,0,0,24,3,5.86050434158156,1.0,184,4.999999999999998,0
48,1,1,1,0.0,558,1,0,1,5,3,5.892224137332168,7.999999999999997,-1,0.0,3
56,0,2,1,0.0,-13,0,0,2,16,6,2.90927441370995,3.0,-1,0.0,3
76,5,1,0,0.0,2223,0,0,1,4,3,5.146061164951314,1.0,-1,0.0,3
56,2,0,1,0.0,179,0,0,0,14,1,2.830859661649826,2.0,-1,0.0,3
27,9,2,2,0.0,501,0,1,1,30,4,4.944342806213113,3.999999999999999,-1,0.0,3
32,9,1,1,0.0,253,1,0,0,21,9,3.223502400151684,1.0,170,3.0,0
50,0,1,1,0.0,159,1,0,2,7,8,4.274973690166411,2.0,-1,0.0,3
43,7,1,1,0.0,2145,0,0,0,22,8,4.545265618360701,1.0,183,3.0,0
48,9,1,1,0.0,335,0,0,2,17,6,4.264239221289785,3.0,-1,0.0,3
28,6,2,1,0.0,123,1,0,2,9,8,3.443224450329921,1.0,-1,0.0,3
28,0,2,1,0.0,127,0,0,0,16,11,6.992568197859725,2.0,-1,0.0,3
55,1,1,1,0.0,2854,1,0,0,7,8,4.721672234071738,1.0,-1,0.0,3
57,0,2,1,0.0,3551,1,0,0,12,8,5.237847284227653,1.0,-1,0.0,3
21,8,2,3,0.0,200,0,0,2,1,6,1.754197044080575,1.0,-1,0.0,3
49,1,1,0,0.0,247,0,1,0,22,5,4.598804869787091,1.0,-1,0.0,3
45,1,1,1,0.0,521,1,0,2,17,6,4.489967314386271,3.0,-1,0.0,3
34,1,1,0,0.0,11000,1,0,0,20,0,5.126508961784701,4.999999999999998,-1,0.0,3
29,7,1,1,0.0,363,1,0,0,15,8,3.96831780336903,1.0,-1,0.0,3
29,10,2,0,0.0,550,0,0,0,29,4,6.092079258170852,1.0,-1,0.0,3
51,1,1,0,0.0,4497,1,0,2,15,8,4.567779775866123,3.0,-1,0.0,3
56,9,1,1,0.0,589,1,0,2,23,10,5.415052078769334,1.0,147,2.0,2
33,9,1,1,0.0,180,0,0,0,4,1,5.533028859954425,1.0,435,3.0,0
39,1,2,1,0.0,169,1,0,2,9,8,2.672812782590282,1.0,-1,0.0,3
73,5,0,2,0.0,3203,0,0,0,20,0,3.8597326206974114,1.0,-1,0.0,3
32,9,0,1,0.0,1097,1,0,2,12,8,4.663447569347846,2.0,-1,0.0,3
33,4,1,2,0.0,334,0,0,0,25,9,3.3434466104789884,1.0,-1,0.0,3
55,9,1,3,0.0,574,1,0,0,29,4,4.413249211862446,2.0,-1,0.0,3
35,1,2,1,0.0,40,1,0,2,9,8,5.67715988560874,3.999999999999999,-1,0.0,3
59,5,1,0,0.0,-47,1,0,0,27,1,3.311886788562368,3.999999999999999,-1,0.0,3
